Phase,Model,Energy_kWh,CO2_kg,Water_liters
Training,RandomForest,0.018126470843950908,0.0072505883375803635,0.014501176675160727
Training,Ridge,0.00012430747350056966,4.9722989400227867e-05,9.944597880045573e-05
Inference,RandomForest,18250.0,7300.0,14600.0
Inference,Ridge,912.5,365.0,730.0
