Phase,Model,Energy_kWh,CO2_kg,Water_liters
Training,RandomForest,0.021972851620780096,0.008789140648312039,0.017578281296624077
Training,Ridge,0.00014660358428955078,5.8641433715820314e-05,0.00011728286743164063
Inference,RandomForest,18250.0,7300.0,14600.0
Inference,Ridge,912.5,365.0,730.0
